2023-08-02,LD
2023-08-03,LD
2023-08-04,D
2023-08-05,
2023-08-06,
2023-08-07,Night
2023-08-08,Night
2023-08-09,
2023-08-10,
2023-08-11,LD
2023-08-12,LD
2023-08-13,LD
2023-08-14,
2023-08-15,D
2023-08-16,Night
2023-08-17,Night
2023-08-18,
2023-08-19,
2023-08-20,
2023-08-21,LD
2023-08-22,LD
2023-08-23,LD
2023-08-24,LD
2023-08-25,D
2023-08-26,
2023-08-27,
2023-08-28,
2023-08-29,
2023-08-30,D
2023-08-31,D
2023-09-01,
2023-09-02,LD
2023-09-03,LD
2023-09-04,
2023-09-05,D
2023-09-06,Night
2023-09-07,Night
2023-09-08,
2023-09-09,
2023-09-10,
2023-09-11,D
2023-09-12,D
2023-09-13,D
2023-09-14,D
2023-09-15,D
2023-09-16,
2023-09-17,
2023-09-18,D
2023-09-19,EDT
2023-09-20,EDT
2023-09-21,D
2023-09-22,D
2023-09-23,
2023-09-24,
2023-09-25,D
2023-09-26,D
2023-09-27,LD
2023-09-28,LD
2023-09-29,D
2023-09-30,
2023-10-01,
2023-10-02,Night
2023-10-03,Night
2023-10-04,
2023-10-05,
2023-10-06,LD
2023-10-07,LD
2023-10-08,LD
2023-10-09,
2023-10-10,D
2023-10-11,Night
2023-10-12,Night
2023-10-13,
2023-10-14,
2023-10-15,
2023-10-16,LD
2023-10-17,LD
2023-10-18,
2023-10-19,
2023-10-20,Night
2023-10-21,Night
2023-10-22,Night
2023-10-23,
2023-10-24,
2023-10-25,D
2023-10-26,D
2023-10-27,
2023-10-28,
2023-10-29,
2023-10-30,D
2023-10-31,D
2023-11-01,D
2023-11-02,D
2023-11-03,D
2023-11-04,
2023-11-05,
2023-11-06,D
2023-11-07,D
2023-11-08,D
2023-11-09,D
2023-11-10,D
2023-11-11,
2023-11-12,
2023-11-13,D
2023-11-14,EDT
2023-11-15,EDT
2023-11-16,D
2023-11-17,D
2023-11-18,
2023-11-19,
